timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701436616822,784,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-99,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,784,0,236
1701436616500,1634,IndexRequest,200,OK,BugresistanceUsers 1-80,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1426,0,1361
1701436617608,528,IndexRequest-1,200,OK,BugresistanceUsers 1-99,text,true,,1816,129,120,120,https://bugresistance.com/index.html,527,0,462
1701436616500,1426,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-80,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1426,0,1361
1701436616448,1678,IndexRequest,200,OK,BugresistanceUsers 1-77,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1461,0,169
1701436617927,207,IndexRequest-1,200,OK,BugresistanceUsers 1-80,text,true,,1816,129,120,120,https://bugresistance.com/index.html,207,0,143
1701436616448,1461,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-77,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1461,0,169
1701436616636,1467,IndexRequest,200,OK,BugresistanceUsers 1-88,text,true,,2154,262,120,120,https://bugresistance.com/index.html,824,0,146
1701436617910,216,IndexRequest-1,200,OK,BugresistanceUsers 1-77,text,true,,1816,129,120,120,https://bugresistance.com/index.html,216,0,144
1701436616636,824,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-88,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,824,0,146
1701436616568,1520,IndexRequest,200,OK,BugresistanceUsers 1-84,text,true,,2154,262,120,120,https://bugresistance.com/index.html,892,0,519
1701436617461,642,IndexRequest-1,200,OK,BugresistanceUsers 1-88,text,true,,1816,129,120,120,https://bugresistance.com/index.html,642,0,569
1701436616568,892,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-84,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,892,0,519
1701436616687,1399,IndexRequest,200,OK,BugresistanceUsers 1-91,text,true,,2154,262,120,120,https://bugresistance.com/index.html,234,0,149
1701436616397,1686,IndexRequest,200,OK,BugresistanceUsers 1-74,text,true,,2154,262,120,120,https://bugresistance.com/index.html,1460,0,1392
1701436616687,234,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-91,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,234,0,149
1701436616397,1460,IndexRequest-0,301,Moved Permanently,BugresistanceUsers 1-74,text,true,,338,133,120,120,https://www.bugresistance.com/index.html,1460,0,1392
1701436616922,1164,IndexRequest-1,200,OK,BugresistanceUsers 1-91,text,true,,1816,129,120,120,https://bugresistance.com/index.html,1164,0,1102
1701436617857,226,IndexRequest-1,200,OK,BugresistanceUsers 1-74,text,true,,1816,129,120,120,https://bugresistance.com/index.html,226,0,159
1701436615775,2242,IndexRequest,200,OK,BugresistanceUsers 1-37,text,true,,2154,262,120,120,https://bugresistance.com/index.html,769,0,268
1701436615700,2317,IndexRequest,200,OK,BugresistanceUsers 1-33,text,true,,2154,262,120,120,https://bugresistance.com/index.html,842,0,343
